Latitude,Longitude,StationID,US10cm_data_length,US20cm_data_length,US30cm_data_length,US40cm_data_length,smlp_R_US10cm,smlp_bias_US10cm,smlp_rmse_US10cm,smlp_ubrmse_US10cm,smlp_mpae_US10cm,smlp_mae_US10cm,era_R_US10cm,era_bias_US10cm,era_rmse_US10cm,era_ubrmse_US10cm,era_mpae_US10cm,era_mae_US10cm,esa_R_US10cm,esa_bias_US10cm,esa_rmse_US10cm,esa_ubrmse_US10cm,esa_mpae_US10cm,esa_mae_US10cm,gleam_R_US10cm,gleam_bias_US10cm,gleam_rmse_US10cm,gleam_ubrmse_US10cm,gleam_mpae_US10cm,gleam_mae_US10cm
-11.25552,-41.81915,291460401C,1299,814,,,0.694905549133621,-0.0266698794644528,0.0418297005900184,0.0322248565675961,0.3697192903594377,0.0339973135612856,0.6872088271896437,0.0642236007590853,0.0931965318831474,0.0675346034310125,0.316451608080013,0.0669567164620259,0.697715765006793,0.0775907110964557,0.0933182649710422,0.0518457339494001,0.3740220238610162,0.0789160262014422,0.7236454577743837,0.0771236818546543,0.0864241791768923,0.0390009800336049,0.3856265888912957,0.0777380614394746
-13.028561,-40.964186,291500701C,790,790,,,0.5151163164959227,0.0087510788563334,0.0276586114884311,0.0262377096622058,0.1779072061455118,0.0202633050036789,0.4880622161457511,0.0772592886703771,0.0962758869614168,0.0574460505548889,0.4046405219045461,0.0772592886703771,0.4498347010279832,0.0455409227249194,0.0589482299710714,0.0374288414739922,0.3085812460498585,0.0479686432320342,0.5319730699806415,0.1322219492374207,0.1370471503258421,0.0360454928152037,0.5711269490617786,0.1322219492374207
-15.223785,-40.629767,291580901C,367,1080,,,0.5431380320976147,0.0126376657585987,0.0297932113022672,0.0269800823548685,0.2457587780900528,0.0260476052292891,0.7292212629047798,0.1209136270343286,0.1280756825724392,0.0422288439789617,0.5553317059969696,0.1209136270343286,0.516963338498904,0.0590367744929945,0.0738811314608526,0.0444193746398922,0.3652710309307723,0.0604294892550439,0.7500718704796119,0.1438296162776505,0.1480217456069178,0.0349782597329097,0.6030555882278212,0.1438296162776505
-12.651505,-39.762116,291685601C,782,782,,,0.3955978280578682,0.0770740697763407,0.0809277680630787,0.0246757251521252,0.6588857506715148,0.0776708613469288,0.6766858298716014,0.2497090225709804,0.2516410223386655,0.0311224705043531,0.8625691157864704,0.2497090225709804,0.4831530323653925,0.1376282566853014,0.1411535600444255,0.0313494892299703,0.7731568814758977,0.1376282566853014,0.6384915379279772,0.1666062828130702,0.1688659810318472,0.0275329997831586,0.8071431345194536,0.1666062828130702
-10.71234,-39.83767,291700301C,1226,263,,,0.5801180477406342,0.0075158726944653,0.0370157673854067,0.0362447057205756,0.2475519887982621,0.03075459520027,0.6192071901633299,0.1725010828132303,0.1788525843798892,0.0472400610459856,0.5979987489349144,0.1725010828132303,0.6629246959066708,0.0813402940586753,0.0903553654184831,0.0393427073592533,0.4112588347870152,0.0817251698669714,0.4640982142671349,0.0921596369647838,0.1022688790632561,0.0443342411615913,0.4450112394514693,0.093409998846542
-15.1055,-40.064416,291710201C,275,275,,,0.5618559024897278,0.0528842434348272,0.0651385726671294,0.0380301254985679,0.4913686552151113,0.0606765391834566,0.8270901387555251,0.1492871179193205,0.1522100192509011,0.0296857943080957,0.6858444629885613,0.1492871179193205,0.750396064394628,0.0733673303170894,0.0798338450932726,0.031475032399026,0.518762656281858,0.0738156209978434,0.7956725070263558,0.1490267829762671,0.1514982964182954,0.0272534726849679,0.6834215997742021,0.1490267829762671
-11.33864,-40.30985,291750801C,1067,470,,,0.5314306464883655,0.0757944409775383,0.0849142317145809,0.0382835403872213,0.6238143566321571,0.0767786835237688,0.5795284153872957,0.2554815937422017,0.2615742088186554,0.0561268383044168,0.8459533045165867,0.2554815937422017,0.5380981335438398,0.1450481196087423,0.1506539752982134,0.0407144110988072,0.7567858460338378,0.1450481196087423,0.5776971177275629,0.1887921643008322,0.1935655913692733,0.0427218546032831,0.802251338487742,0.1887921643008322
-13.521388,-40.045583,291760701C,429,429,,,0.573984720810079,0.0467923712224942,0.055693675771359,0.030203634157193,0.2639427272788964,0.0484027030049959,0.5835801765906184,0.2427428628271044,0.2469339890719236,0.0453022902895038,0.6518156325416187,0.2427428628271044,0.5984952235169907,0.1134582848456071,0.1215376554694143,0.0435731488062904,0.4564437641723919,0.1134592187128415,0.5632838910158438,0.1372484662809652,0.1428688538423734,0.039678305177467,0.5099924305382778,0.1372484662809652
-9.99707,-38.32543,291810001C,1058,1058,,,0.2562879152687582,-0.001021770117279,0.0448863417113463,0.0448747106737769,0.4020545847629913,0.0363535977177787,0.7162568188814175,0.0012246332067795,0.0311684790267641,0.0311444113502035,0.2340520135107966,0.0223151130616073,0.7047756506612749,0.0227793784170289,0.0405528044585345,0.0335504078721248,0.2667623890392071,0.0308377038599552,0.6337573303136935,0.0674678927311176,0.0774143200457609,0.0379613013287203,0.4324841781671241,0.068210838075692
-10.96491,-41.94367,291850601C,762,762,,,0.6363570657770639,-0.0629697788892518,0.0705933701533761,0.0319097298053479,0.6822709832534424,0.0676221555778575,0.6473026607783885,0.0887146862467077,0.0981250400566495,0.0419312285804658,0.3324124736278324,0.0887146862467077,0.6390715218645009,-0.005031995748242,0.0412420913088591,0.0409339604035322,0.1799084287608615,0.0302304058210917,0.739203233957906,0.0112609032501132,0.0373295735889594,0.0355905763134727,0.0951299157764247,0.0208811040869694
